Time,AccelerometerX
510.297,-0.1541748046875
510.307,-0.12469482421875
510.317,-0.06884765625
510.327,-0.0010986328125
510.337,0.0596923828125
510.347,0.0989990234375
510.357,0.11114501953125
510.367,0.10125732421875
510.377,0.0806884765625
510.387,0.055999755859375
510.397,0.024810791015625
510.407,-0.017669677734375
510.416,-0.06744384765625
510.426,-0.11279296875
510.436,-0.1422119140625
510.446,-0.1474609375
510.456,-0.1265869140625
510.466,-0.084228515625
510.476,-0.03118896484375
510.486,0.018768310546875
510.496,0.058868408203125
510.506,0.08905029296875
510.516,0.10760498046875
510.526,0.107666015625
510.536,0.08355712890625
510.546,0.035888671875
510.556,-0.034454345703125
510.566,-0.12445068359375
510.576,-0.2213134765625
510.586,-0.3046875
510.596,-0.351318359375
510.606,-0.34375
510.615,-0.28271484375
510.625,-0.184814453125
510.635,-0.07049560546875
510.645,0.038482666015625
510.655,0.12030029296875
510.665,0.163330078125
510.675,0.1707763671875
510.685,0.1549072265625
510.695,0.125732421875
510.705,0.085205078125
510.715,0.037567138671875
510.725,-0.00345039367675781
510.735,-0.0264129638671875
510.745,-0.031768798828125
510.755,-0.02569580078125
510.765,-0.0130996704101562
510.775,-0.0002288818359375
510.785,0.00645065307617188
510.795,0.00485610961914062
510.805,0.00106143951416016
510.809,0.1318359375
510.819,0.1817626953125
510.829,0.2174072265625
510.839,0.2244873046875
510.849,0.201904296875
510.859,0.162353515625
510.869,0.1260986328125
510.879,0.10736083984375
510.889,0.08026123046875
510.899,-0.048583984375
510.909,-0.379150390625
510.919,-0.919921875
510.929,-1.5625
510.939,-2.080078125
510.949,-2.19140625
510.959,-1.7236328125
510.967,-0.75146484375
510.977,0.414794921875
510.987,1.3564453125
510.997,1.7421875
511.007,1.46875
511.017,0.65185546875
511.027,-0.429931640625
511.037,-1.44140625
511.047,-2.09765625
511.057,-2.232421875
511.067,-1.802734375
511.077,-0.9169921875
511.087,0.1866455078125
511.097,1.1943359375
511.107,1.8115234375
511.117,1.8642578125
511.127,1.35546875
511.137,0.44140625
511.147,-0.6640625
511.157,-1.76953125
511.166,-2.732421875
511.176,-3.4453125
511.186,-3.806640625
511.196,-3.7265625
511.206,-3.169921875
511.216,-2.19921875
511.226,-0.9775390625
511.236,0.2998046875
511.246,1.44140625
511.256,2.26953125
511.266,2.646484375
511.276,2.53125
511.286,1.9873046875
511.296,1.1533203125
511.306,0.182373046875
511.316,-0.80859375
511.326,-1.7431640625
511.336,-2.515625
511.346,-2.970703125
511.356,-2.99609375
511.361,1.9365234375
511.371,2.84765625
511.381,3.40625
511.391,3.62890625
511.401,3.583984375
511.411,3.357421875
511.421,3.025390625
511.431,2.64453125
511.441,2.25390625
511.451,1.8671875
511.461,1.4892578125
511.471,1.1162109375
511.481,0.76171875
511.491,0.475830078125
511.501,0.30859375
511.511,0.262451171875
511.518,0.287353515625
511.528,0.311767578125
511.538,0.286376953125
511.548,0.1982421875
511.558,0.052337646484375
511.568,-0.1343994140625
511.578,-0.31640625
511.588,-0.433837890625
511.598,-0.461181640625
511.608,-0.422607421875
511.618,-0.3466796875
511.628,-0.23095703125
511.638,-0.060577392578125
511.648,0.1529541015625
511.658,0.363037109375
511.668,0.513671875
511.678,0.57470703125
511.688,0.54541015625
511.698,0.434326171875
511.708,0.262451171875
511.717,0.0657958984375
511.727,-0.113037109375
511.737,-0.23486328125
511.747,-0.27099609375
511.757,-0.2120361328125
511.767,-0.0782470703125
511.777,0.08245849609375
511.787,0.21630859375
511.797,0.282470703125
511.807,0.264892578125
511.817,0.177734375
511.827,0.0592041015625
511.837,-0.047271728515625
511.847,-0.11260986328125
