Time,GyroX 
48.86,22.5700016021729
48.87,19.7000007629395
48.88,12.1400003433228
48.89,9.20000076293945
48.9,15.9900007247925
48.909,8.82000064849854
48.919,7.14000034332275
48.929,-1.92000007629395
48.939,-12.9100008010864
48.949,3.92000007629395
48.959,27.3700008392334
48.969,30.3800010681152
48.979,32.4400024414062
48.989,38.7800025939941
48.999,47.6700019836426
49.009,58.2700042724609
49.019,59.9500045776367
49.029,52.6400032043457
49.039,45.7800025939941
49.049,51.2700042724609
49.059,55.3000030517578
49.069,50.3600006103516
49.079,38.6400032043457
49.089,16.1000003814697
49.099,-2.83000016212463
49.107,-15.4000005722046
49.117,-19.6700000762939
49.127,-16.8700008392334
49.137,-17.7400016784668
49.147,-15.1500005722046
49.157,0.630000054836273
49.167,17.4600009918213
49.177,39.5100021362305
49.187,56.5900039672852
49.197,64.7100067138672
49.207,75.1800003051758
49.217,104.440002441406
49.227,139.510009765625
49.237,168.940002441406
49.247,170.520004272461
49.257,158.790008544922
49.267,154.630004882812
49.277,164.220001220703
49.287,172.720001220703
49.297,188.540008544922
49.301,94.9200057983398
49.311,54.1400032043457
49.321,14.2800006866455
49.331,-6.30000019073486
49.341,-29.3600006103516
49.351,-55.120002746582
49.361,-78.0100021362305
49.371,-98.2800064086914
49.381,-133.700012207031
49.391,-169.43000793457
49.401,-199.43000793457
49.411,-220.220016479492
49.421,-231.210006713867
49.431,-233.030014038086
49.441,-231.700012207031
49.451,-209.790008544922
49.46,-171.250015258789
49.47,-116.340003967285
49.48,-54.1400032043457
49.49,8.53999996185303
49.5,76.6100006103516
49.51,135.520004272461
49.52,175.170013427734
49.53,202.330017089844
49.54,208.910003662109
49.55,198.830001831055
49.56,178.220001220703
49.57,142.550003051758
49.58,91.2400054931641
49.59,36.4300003051758
49.6,-16.2700004577637
49.61,-71.4700012207031
49.62,-116.830001831055
49.63,-149.450012207031
49.64,-178.290008544922
49.65,-186.160003662109
49.659,-181.370010375977
49.669,-173.980010986328
49.679,-151.720001220703
49.689,-124.250007629395
49.699,-102.300003051758
49.709,-80.1500015258789
49.719,-54.560001373291
49.729,-36.0100021362305
49.739,-9.17000007629395
49.749,8.82000064849854
49.759,36.9900016784668
49.769,65.620002746582
49.779,78.1500015258789
49.789,82.9100036621094
49.799,83.6100006103516
49.809,74.3400039672852
49.819,54.6700019836426
49.829,37.3800010681152
49.839,11.4100008010864
49.849,-25.0900020599365
49.857,-55.2600021362305
49.867,-83.9600067138672
49.877,-103.460006713867
49.887,-107.480003356934
49.897,-98.5200042724609
49.907,-97.0900039672852
49.917,-78.890007019043
49.927,-57.9200019836426
49.937,-32.1300010681152
49.947,-10.9900007247925
49.957,1.78000009059906
49.967,27.4700012207031
49.977,49.6600036621094
49.987,77.8000030517578
49.997,112.490005493164
50.007,81.2300033569336
50.017,49.310001373291
50.027,37.1000022888184
50.037,31.5000019073486
50.047,21.1000003814697
50.052,-7.59000015258789
50.062,-35.7000007629395
50.072,-58.7600021362305
50.082,-86.3800048828125
50.092,-117.040008544922
50.102,-117.600006103516
50.112,-122.390007019043
50.122,-145.84001159668
50.132,-135.760009765625
50.142,-111.160003662109
50.152,-82.1100006103516
50.162,-26.6300010681152
50.172,30.3400020599365
50.182,81.370002746582
50.192,126.770004272461
50.202,157.150009155273
50.21,168.490005493164
50.22,163.660003662109
50.23,153.370010375977
50.24,142.660003662109
50.25,135.660003662109
50.26,121.100006103516
50.27,110.560005187988
50.28,108.530006408691
50.29,96.8400039672852
